,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12
182,267643,ACTIVE,جوجه بروستد دهخدا,2023-08-09 12:15:40,,
183,276297,ACTIVE,فست فود هیلدا,2023-08-09 12:15:43,,
184,304853,ACTIVE,پیتزا و هات داگ بُن فود (سعادت آباد),2023-08-09 12:15:57,,
185,311842,ACTIVE,کبابی گلبرگ فولادی,2023-08-09 12:30:53,,
186,51378,ACTIVE,فست فود تی تی هات,2023-08-09 12:45:15,,
187,100186,ACTIVE,سرزمین سوخاری (اندرزگو),2023-08-09 12:45:30,,
188,34057,ACTIVE,غذای ایرانی پردیس (شهرک ورداورد),2023-08-09 13:30:14,,
189,213074,ACTIVE,تهیه غذای فدک,2023-08-09 14:15:24,,
190,271104,ACTIVE,کافه رستوران اورانوس,2023-08-09 14:30:35,,
191,311016,ACTIVE,کافه فلورانس,2023-08-09 17:30:37,,
192,270026,ACTIVE,رستوران ایرانی فرانسوی لیموژ,2023-08-09 17:45:25,,
193,300465,ACTIVE,فست فود ریکشا,2023-08-09 18:15:34,,
194,62285,ACTIVE,مجموعه غذایی مهدی سلطان,2023-08-09 20:30:16,,
195,248119,ACTIVE,کافه رستوران لیو,2023-08-09 21:30:28,,
196,317662,ACTIVE,طباخی شمرون,2023-08-09 23:45:08,,
197,31570,ACTIVE,سرای کباب هادی و حانی,2023-08-10 7:45:03,,
198,255385,ACTIVE,کافه 8,2023-08-10 7:45:05,,
199,286875,ACTIVE,گل نارین,2023-08-10 8:15:08,,
200,278170,ACTIVE,عطاری رویال (شعبه 1),2023-08-10 9:15:14,,
201,262032,ACTIVE,گل فروشی گلاله,2023-08-10 9:45:09,,
202,40954,ACTIVE,باماهاس (هروی),2023-08-10 11:15:05,,
203,295049,ACTIVE,باماهاس (هدیش مال),2023-08-10 11:15:05,,
204,286956,ACTIVE,کترینگ هرنان,2023-08-10 11:15:22,,
205,18485,ACTIVE,مرغ بریان و فست فود سفیر,2023-08-10 11:45:03,,
206,29709,ACTIVE,کترینگ بزرگ کیبو (سارا سابق),2023-08-10 11:45:05,,
207,271462,ACTIVE,کمپ مزه (پارک ملت),2023-08-10 11:45:22,,
208,307926,ACTIVE,فست فود شادی,2023-08-10 11:45:30,,
209,317823,ACTIVE,فست فود واران,2023-08-10 11:45:33,,
210,43997,ACTIVE,تهیه غذای سعادت,2023-08-10 12:00:09,,
211,70672,ACTIVE,غذای خانگی دونر,2023-08-10 12:15:20,,
212,103272,ACTIVE,بستنی ایتالیایی چوبیک,2023-08-10 12:15:26,,
213,292618,ACTIVE,بارباراس برگر (نیایش مال),2023-08-10 12:15:52,,
214,317181,ACTIVE,آبمیوه بستنی عمو حسین (شعبه اقدسیه),2023-08-10 12:16:06,,
215,320353,ACTIVE,فست فود حاج حسین,2023-08-10 12:16:07,,
216,34392,ACTIVE,رضالقمه (رودکی),2023-08-10 12:30:08,,
217,285649,ACTIVE,رستوران مرسیا,2023-08-10 15:30:37,,
218,102649,ACTIVE,فست فود دیدومک,2023-08-10 15:45:20,,
219,50683,ACTIVE,ابمیوه بستنی سان استار,2023-08-10 16:15:09,,
