Vendor Id,Status,Name,Date,UpdateProfile
304853,ACTIVE,پیتزا و هات داگ بُن فود (سعادت آباد),2023-08-09 12:15:57,
311842,ACTIVE,کبابی گلبرگ فولادی,2023-08-09 12:30:53,
51378,ACTIVE,فست فود تی تی هات,2023-08-09 12:45:15,
100186,ACTIVE,سرزمین سوخاری (اندرزگو),2023-08-09 12:45:30,
34057,ACTIVE,غذای ایرانی پردیس (شهرک ورداورد),2023-08-09 13:30:14,
213074,ACTIVE,تهیه غذای فدک,2023-08-09 14:15:24,
271104,ACTIVE,کافه رستوران اورانوس,2023-08-09 14:30:35,
311016,ACTIVE,کافه فلورانس,2023-08-09 17:30:37,
270026,ACTIVE,رستوران ایرانی فرانسوی لیموژ,2023-08-09 17:45:25,
300465,ACTIVE,فست فود ریکشا,2023-08-09 18:15:34,
62285,ACTIVE,مجموعه غذایی مهدی سلطان,2023-08-09 20:30:16,
248119,ACTIVE,کافه رستوران لیو,2023-08-09 21:30:28,
317662,ACTIVE,طباخی شمرون,2023-08-09 23:45:08,
31570,ACTIVE,سرای کباب هادی و حانی,2023-08-10 7:45:03,
255385,ACTIVE,کافه 8,2023-08-10 7:45:05,
286875,ACTIVE,گل نارین,2023-08-10 8:15:08,
278170,ACTIVE,عطاری رویال (شعبه 1),2023-08-10 9:15:14,
262032,ACTIVE,گل فروشی گلاله,2023-08-10 9:45:09,
40954,ACTIVE,باماهاس (هروی),2023-08-10 11:15:05,
295049,ACTIVE,باماهاس (هدیش مال),2023-08-10 11:15:05,
286956,ACTIVE,کترینگ هرنان,2023-08-10 11:15:22,
18485,ACTIVE,مرغ بریان و فست فود سفیر,2023-08-10 11:45:03,
29709,ACTIVE,کترینگ بزرگ کیبو (سارا سابق),2023-08-10 11:45:05,
271462,ACTIVE,کمپ مزه (پارک ملت),2023-08-10 11:45:22,
307926,ACTIVE,فست فود شادی,2023-08-10 11:45:30,
317823,ACTIVE,فست فود واران,2023-08-10 11:45:33,
43997,ACTIVE,تهیه غذای سعادت,2023-08-10 12:00:09,
70672,ACTIVE,غذای خانگی دونر,2023-08-10 12:15:20,
103272,ACTIVE,بستنی ایتالیایی چوبیک,2023-08-10 12:15:26,
292618,ACTIVE,بارباراس برگر (نیایش مال),2023-08-10 12:15:52,
317181,ACTIVE,آبمیوه بستنی عمو حسین (شعبه اقدسیه),2023-08-10 12:16:06,
320353,ACTIVE,فست فود حاج حسین,2023-08-10 12:16:07,
34392,ACTIVE,رضالقمه (رودکی),2023-08-10 12:30:08,
285649,ACTIVE,رستوران مرسیا,2023-08-10 15:30:37,
102649,ACTIVE,فست فود دیدومک,2023-08-10 15:45:20,
50683,ACTIVE,ابمیوه بستنی سان استار,2023-08-10 16:15:09,
58148,ACTIVE,کافه رستوران رافائل,2023-08-10 16:15:11,
43383,ACTIVE,رستوران ایتالیایی گاندی,2023-08-10 17:30:07,
61426,ACTIVE,آبمیوه بستنی اکسیژن,2023-08-10 19:15:14,
62705,ACTIVE,رستوران صدف 1,2023-08-10 19:15:14,
79942,ACTIVE,تهیه غذای نعیم,2023-08-10 20:30:46,
288476,ACTIVE,رستوران نصر,2023-08-10 21:04:38,
10704,ACTIVE,رستوران کالوشه,2023-08-10 21:30:12,
291868,ACTIVE,فست فود ترنج,2023-08-11 0:30:05,
270878,ACTIVE,دیزی سرای سلطان,2023-08-11 7:45:06,
63574,ACTIVE,تهیه غذا مش حسن,2023-08-11 8:00:03,
57706,ACTIVE,بوفه کانتینر (وزرا),2023-08-11 8:15:04,
58792,ACTIVE,شیرینی بوفه کانتینر (وزرا),2023-08-11 8:15:04,
32665,ACTIVE,آبمیوه بستنی کولاک,2023-08-11 9:15:03,
48400,ACTIVE,قنادی ونوس,2023-08-11 9:15:03,
37852,ACTIVE,پیراشکی خسروی (کریمخان),2023-08-11 9:45:03,
43297,ACTIVE,آبمیوه خسروی,2023-08-11 9:45:03,
294799,ACTIVE,کافه بریانکده مورو,2023-08-11 9:45:09,
58469,ACTIVE,کلین فود (امام خمینی),2023-08-11 10:15:05,
58709,ACTIVE,آجیل و خشکبار تواضع اصل (پاسداران),2023-08-11 10:15:05,
213700,ACTIVE,پت شاپ کلبه حیوانات (دروس),2023-08-11 10:15:08,
310873,ACTIVE,باقلوای تک سین (شعبه اکباتان),2023-08-11 10:15:14,
309593,ACTIVE,شیرینی پراگ (میرداماد),2023-08-11 10:45:12,
40555,ACTIVE,بیک,2023-08-11 11:45:06,
97797,ACTIVE,فست فود پاچینی,2023-08-11 11:45:14,
109424,ACTIVE,پيتزا بوته,2023-08-11 11:45:14,
320056,ACTIVE,کته دیگ (نیروی هوایی),2023-08-11 11:45:28,
10649,ACTIVE,پیروک فود,2023-08-11 12:00:04,
17245,ACTIVE,باقلوای عروس لبنان,2023-08-11 12:15:03,
49120,ACTIVE,رستوران ایتالیایی ژوانی,2023-08-11 12:15:09,
278650,ACTIVE,فست فود و سوخاری باران,2023-08-11 12:15:33,
290286,ACTIVE,فلافل هات داگ منصور دلیشز,2023-08-11 12:15:36,
316532,ACTIVE,ساندویچ سبز,2023-08-11 12:15:46,
87359,ACTIVE,رستوران جوجک,2023-08-11 12:30:20,
256997,ACTIVE,رستوران مهربانو,2023-08-11 12:30:28,
298006,ACTIVE,کافه رستوران نارکو,2023-08-11 12:30:38,
297324,ACTIVE,پیتزا سدار,2023-08-11 13:00:37,
223427,ACTIVE,کترینگ مهان,2023-08-11 13:15:19,
10539,ACTIVE,پیتزا ستاره,2023-08-11 14:45:03,
99726,ACTIVE,فست فود مرغ بال,2023-08-11 17:15:14,
83009,ACTIVE,غذای ایرانی شمس,2023-08-11 18:15:13,
51545,ACTIVE,قنادی عرش,2023-08-11 18:30:08,
112278,ACTIVE,کافه رستوران آلما,2023-08-11 18:45:16,
24211,ACTIVE,کافه رستوران ویند,2023-08-11 19:15:04,
25494,ACTIVE,پیتزا 2002,2023-08-11 19:15:05,
29098,ACTIVE,پیتزا سیب 360 (افسریه),2023-08-11 19:15:05,
55653,ACTIVE,آجیل شیرینی کندو vip (لاریسا آجیل سابق),2023-08-11 19:15:06,
78673,ACTIVE,رستوران برکتی (تهران پارس),2023-08-11 19:15:16,
228863,ACTIVE,تهیه غذای پلو خورش,2023-08-11 19:15:21,
294247,ACTIVE,کترینگ کباب گلپایگانی یاسر,2023-08-11 19:15:33,
312942,ACTIVE,لبنان شاورما,2023-08-11 19:15:39,
319581,ACTIVE,رستوران باغ فردوس,2023-08-11 19:15:41,
100383,ACTIVE,میوه میارم (پارک ملت),2023-08-11 20:15:19,
319741,ACTIVE,کافه آرت,2023-08-11 20:30:43,
319300,ACTIVE,فست فود تک طهرون,2023-08-11 22:00:37,
86511,ACTIVE,شیرینی فروشی وانیلا (پاسداران),2023-08-12 8:15:05,
94912,ACTIVE,کافه نان بروله (دیباجی جنوبی),2023-08-12 8:45:05,
279340,ACTIVE,پت شاپ الو پت پت,2023-08-12 8:45:07,
298112,ACTIVE,کافه رستوران ملبورن,2023-08-12 8:45:07,
312968,ACTIVE,کافه رستوران آوا,2023-08-12 8:45:08,
54877,ACTIVE,طباخی محله,2023-08-12 9:00:04,
11685,ACTIVE,تهیه غذای دایی,2023-08-12 11:15:03,
13394,ACTIVE,پیتزا دایی,2023-08-12 11:15:03,
45980,ACTIVE,موسوی کباب (کبابخانه موسوی),2023-08-12 11:15:05,
230967,ACTIVE,لبنیات سنتی اسبقی پور لیقوان,2023-08-12 11:15:14,
310710,ACTIVE,تهیه غذای پایتخت,2023-08-12 11:15:26,
106402,ACTIVE,سرزمین سوخاری (الوند),2023-08-12 11:45:14,
33380,ACTIVE,کباب ناب بناب حافظ,2023-08-12 12:15:09,
50457,ACTIVE,مجموعه غذای لیالی,2023-08-12 12:15:12,
63651,ACTIVE,غذای اصیل و گیلانی بارکو,2023-08-12 12:15:19,
97948,ACTIVE,فست فود هفت چنار,2023-08-12 12:15:27,
258007,ACTIVE,اکبر جوجه درکه (شعبه ۲ سعادت آباد),2023-08-12 12:15:38,
293513,ACTIVE,رستوران زیتون,2023-08-12 12:15:53,
30272,ACTIVE,پرپل سوخاری (ارتش),2023-08-12 15:01:57,
60191,ACTIVE,سوپر سبزیجات باران (چیذر),2023-08-12 15:02:36,
289577,ACTIVE,فست فود دی دی لانچ,2023-08-12 15:32:06,
299767,ACTIVE,پیتزا فرفری,2023-08-12 15:35:17,
15048,ACTIVE,فست فود هیوا (تجریش),2023-08-12 16:15:09,
91084,ACTIVE,سالاد بار هیوا,2023-08-12 16:15:09,
27900,ACTIVE,توچال کباب,2023-08-12 16:15:11,
43260,ACTIVE,شیرینی لندو,2023-08-12 16:15:19,
323636,ACTIVE,لقمه امیر انفجار (شریعتی),2023-08-12 16:16:09,
100654,ACTIVE,کافه نان و قهوه بادیز,2023-08-12 16:30:36,
78756,ACTIVE,کافه لایت,2023-08-12 17:30:46,
253759,ACTIVE,کافه پاپیون,2023-08-12 17:31:06,
260325,ACTIVE,فست فود پلاکارت,2023-08-12 17:31:08,
110221,ACTIVE,آش و حلیم الیزه,2023-08-12 18:00:05,
252102,ACTIVE,کافه رستوران مهران,2023-08-12 18:00:23,
45225,ACTIVE,پیتزا همبرگر بهروز (اصلی),2023-08-12 18:30:08,
92231,ACTIVE,فست فود پاتوق شبانه کارون,2023-08-12 18:30:17,
293698,ACTIVE,رستوران گلستان,2023-08-12 19:15:37,
272078,ACTIVE,فست فود ایگل,2023-08-12 19:30:38,
293546,ACTIVE,فست فود سالیز,2023-08-12 22:30:30,
63436,ACTIVE,رستوران بلو لایف تهران,2023-08-12 22:45:10,
34923,ACTIVE,سرزمین جگر,2023-08-12 23:15:05,
66960,ACTIVE,شیرینی کندو,2023-08-13 8:15:04,
313590,ACTIVE,کافه وو,2023-08-13 9:15:14,
31155,ACTIVE,آجیل و خشکبار تواضع اصل (VIP ملل),2023-08-13 10:15:03,
