,Unnamed: 0.1,Unnamed: 0,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12,Found_2023-08-22 15
135,135,135,17795,ACTIVE,فرش باکس (شریعتی),2023-08-08 10:45:02,,,
136,136,136,62807,ACTIVE,شیرینی الهیه 33 (شعبه نیاوران),2023-08-08 11:00:06,,,
137,137,137,26750,ACTIVE,کباب کده دنج,2023-08-08 11:45:04,,,
138,138,138,275434,ACTIVE,مجموعه غذایی ریتون,2023-08-08 11:45:21,,,
139,139,139,10546,ACTIVE,رستوران فرزانه بناب,2023-08-08 12:15:03,,,
140,140,140,29521,ACTIVE,کاتسو,2023-08-08 12:15:06,,,
141,141,141,64675,ACTIVE,فست فود وارلی,2023-08-08 12:15:15,,,
142,142,142,288954,ACTIVE,فست فود بولداگ,2023-08-08 12:15:40,,,
143,143,143,317082,ACTIVE,کافه ال دا,2023-08-08 12:15:51,,,
144,144,144,28100,ACTIVE,آجیل و خشکبار محسن (پاسداران),2023-08-08 13:30:08,,,
145,145,145,278921,ACTIVE,کافه زولا (نیایش مال),2023-08-08 14:00:34,,,
146,146,146,14232,ACTIVE,فست فود سوخاری سوخاری,2023-08-08 14:15:04,,,
147,147,147,29467,ACTIVE,پیتزا سیب 360 (شریعتی),2023-08-08 15:00:07,,,
148,148,148,26668,ACTIVE,رستوران هانی (قیام),2023-08-08 15:15:04,,,
149,149,149,317880,ACTIVE,فست فود یامی,2023-08-08 15:15:45,,,
150,150,150,58373,ACTIVE,نان سحر (نمایندگی بلوار فردوس),2023-08-08 15:45:14,,,
151,151,151,59949,ACTIVE,کافه رستوران یاشل,2023-08-08 16:15:11,,,
152,152,152,63823,ACTIVE,کافه پریسکا,2023-08-08 16:15:14,,,
153,153,153,63819,ACTIVE,رستوران پریسکا,2023-08-08 16:15:14,,,
154,154,154,294001,ACTIVE,ساندویچ بار پریسکا,2023-08-08 16:15:14,,,
155,155,155,233227,ACTIVE,کافه بابل تی فونسا,2023-08-08 16:30:21,,,
156,156,156,273613,ACTIVE,کاسه کباب فونسا,2023-08-08 16:30:21,,,
157,157,157,53730,ACTIVE,بستنی میو,2023-08-08 17:00:09,,,
158,158,158,255336,ACTIVE,راد پروتئین,2023-08-08 17:30:22,,,
159,159,159,66938,ACTIVE,کافه رستوران روکو,2023-08-08 18:15:12,,,
160,160,160,36736,ACTIVE,رستوران شمس,2023-08-08 18:45:06,,,
161,161,161,228867,ACTIVE,غذای ایرانی طاق,2023-08-08 18:45:20,,,
162,162,162,272944,ACTIVE,آشپزخانه زمردی,2023-08-08 19:15:31,,,
163,163,163,237635,ACTIVE,پیتزا 583,2023-08-08 19:45:25,,,
164,164,164,82886,ACTIVE,کترینگ شاهان (مجیدیه),2023-08-08 20:15:18,,,
165,165,165,45842,ACTIVE,لواشک دلیشک,2023-08-08 20:30:09,,,
166,166,166,78982,ACTIVE,رستوران میزبان,2023-08-08 21:45:16,,,
167,167,167,256355,ACTIVE,مطبخ خانه ماه بانو,2023-08-08 22:30:19,,,
168,168,168,294193,ACTIVE,بریانکده مرغ طلایی,2023-08-08 23:30:18,,,
169,169,169,320268,ACTIVE,فست فود وی,2023-08-08 23:45:16,,,
170,170,170,280146,ACTIVE,باماهاس (جنت آباد),2023-08-09 1:45:04,,,
171,171,171,30497,ACTIVE,کافه رئیس (جم),2023-08-09 7:45:03,,,
172,172,172,31923,ACTIVE,کباب حلیم و آشکده نارنج,2023-08-09 7:45:03,,,
173,173,173,101585,ACTIVE,کافه دوبار (پارک پرنس),2023-08-09 8:45:05,,,
174,174,174,241082,ACTIVE,آرایشی بهداشتی فعال کیش,2023-08-09 9:15:10,,,
175,175,175,42755,ACTIVE,رستوران گلپایگانی (هفده شهریور),2023-08-09 11:15:05,,,
176,176,176,53254,ACTIVE,نان سحر (سپه سالار),2023-08-09 11:15:07,,,
177,177,177,103274,ACTIVE,فست فود ویس لند(شعبه کشاورز),2023-08-09 11:15:13,,,
178,178,178,11576,ACTIVE,پیتزا کاکتوس,2023-08-09 11:45:03,,,
179,179,179,246208,ACTIVE,قهوه ملو (فردوسی),2023-08-09 11:45:21,,,
180,180,180,303325,ACTIVE,رستوران هوپاد,2023-08-09 11:45:33,,,
181,181,181,24862,ACTIVE,کافه گریل ببک,2023-08-09 12:15:05,,,
182,182,182,267643,ACTIVE,جوجه بروستد دهخدا,2023-08-09 12:15:40,,,
183,183,183,276297,ACTIVE,فست فود هیلدا,2023-08-09 12:15:43,,,
184,184,184,304853,ACTIVE,پیتزا و هات داگ بُن فود (سعادت آباد),2023-08-09 12:15:57,,,
185,185,185,311842,ACTIVE,کبابی گلبرگ فولادی,2023-08-09 12:30:53,,,
186,186,186,51378,ACTIVE,فست فود تی تی هات,2023-08-09 12:45:15,,,
